case,year,DWT_CLOSS_PgCperyr,WOOD_HARVESTC_PgCperyr,DWT_PROD10C_GAIN_PgCperyr,DWT_PROD100C_GAIN_PgCperyr,NEE_PgCperyr,NPP_PgCperyr,COL_FIRE_CLOSS_PgCperyr,PROD10C_PgC_avg,PROD100C_PgC_avg,TOTVEGC_PgC_avg,TOTSOMC_PgC_avg,TOTECOSYSC_PgC_avg,PBOT_Pa,QBOT_massfrac,co2_ppmv
iesm45_coupled,2086,0.103767218,2.075144111,0.033253277,0.005728293,-1.121535416,53.33178945,2.597937644,7.756571097,10.73397964,618.8622541,521.1567835,1240.668341,91951.81271,0.007926204,609.3300103
iesm45_coupled,2087,0.100001776,2.081186895,0.03234667,0.005652634,0.038075735,52.03558083,2.6831093,7.77176424,10.82733861,619.1828999,521.2752662,1241.633401,91913.43328,0.007831613,610.8572835
iesm45_coupled,2088,0.097787108,2.098671741,0.031363985,0.005669554,-0.454618248,52.78455508,2.711025891,7.792056993,10.92095053,619.2616484,521.5731572,1241.844384,91924.34274,0.007919108,612.681091
iesm45_coupled,2089,0.0869996,2.105951256,0.025695746,0.00467353,-1.13916593,53.2511432,2.664516555,7.814186469,11.01464614,619.6970421,521.7165821,1242.259041,91926.36962,0.00778292,614.0707193
iesm45_coupled,2090,0.077738789,2.100435854,0.018802439,0.003739846,0.140123651,52.04541845,2.825848348,7.825918442,11.10541817,620.3271659,521.7418975,1243.521936,91949.64536,0.007921335,615.6203799
iesm45_coupled,2091,0.077744386,2.09981577,0.018768091,0.00364035,-1.459365085,54.03671219,2.81911874,7.831095295,11.19147217,619.5326978,522.1868236,1243.039837,91918.23672,0.007988622,617.6242089
iesm45_coupled,2092,0.085117037,2.092863318,0.019082569,0.00365569,-3.073057004,54.4978185,2.454309548,7.833865681,11.27401502,623.8371255,521.6179602,1246.11839,91908.37006,0.007929975,617.8935184
iesm45_coupled,2093,0.076079212,2.097196673,0.017217969,0.003269798,0.762100148,52.56737266,2.722068118,7.835108151,11.35298854,623.973011,521.7880648,1247.515982,91943.31122,0.00798777,619.6361456
iesm45_coupled,2094,0.074588975,2.097195831,0.015995813,0.003262869,-0.692105165,53.34476854,2.899195387,7.837879306,11.42988085,623.8438147,522.093259,1247.175406,91909.39282,0.008082939,621.5776485
iESM45_uncoupled,2005,0.143237929,0.995613546,0.070652884,0.004258325,-0.718258909,46.73655446,1.881767756,4.732365196,4.277855289,528.2942766,512.6769368,1124.56665,91882.33539,0.00697924,407.0293949
iESM45_uncoupled,2006,0.132709628,1.012040119,0.066013905,0.003974724,0.455318228,45.96261885,2.082289257,4.658049288,4.265792102,528.1258341,512.9206036,1124.95949,91864.78248,0.006947997,409.5163377
iESM45_uncoupled,2007,0.13104682,1.056300295,0.064712104,0.00366697,-0.999401964,46.7243934,2.263471153,4.623236023,4.254822019,528.6169364,513.2577722,1125.01059,91872.47961,0.00692375,412.1489669
