case,year,TREFHT_K,TS_K,PRECT_mmperyr,QREFHT_massfrac,RHREFHT_percent,LHFLX_Wperm2,SHFLX_Wperm2,FLNS_Wperm2,FLNT_Wperm2,FSNS_Wperm2,FSNT_Wperm2,FLDVG_Wperm2,FSDVG_Wperm2,RESTOM_Wperm2
iESM_coupled,2049,289.0884655,289.8530833,1142.319544,0.011075245,77.72668134,90.72045615,18.25550586,52.19441275,237.6685549,164.1716666,240.3508928,-185.4741422,76.17922616,2.682337828
iESM_coupled,2050,289.2731811,290.0341929,1157.852792,0.011314857,77.88999417,91.78287339,18.17621982,51.36001144,238.4451203,163.509773,239.926328,-187.0851089,76.41655508,1.481207724
iESM_coupled,2051,289.1439441,289.8881768,1147.836106,0.011203529,77.89189846,91.02337282,17.95400888,51.42778193,237.9460882,163.065407,239.66857,-186.5183062,76.60316308,1.722481857
iESM_coupled,2052,289.200694,289.9572593,1145.58326,0.011161676,77.68245775,90.88956702,18.08324305,51.97334926,237.868662,164.1080524,240.3780753,-185.8953127,76.27002291,2.50941338
iESM_coupled,2053,289.3939499,290.1422063,1153.103978,0.011294937,77.75094173,91.54596934,18.14422811,51.68472367,238.3968466,164.0772766,240.5137544,-186.7121229,76.43647778,2.116907802
iESM_coupled,2054,289.4775444,290.2377429,1157.235403,0.011423359,77.83158988,91.76071323,18.06124718,51.11133217,238.3492064,163.7038495,240.4086979,-187.2378742,76.70484841,2.059491476
iESM_coupled,2055,289.5780757,290.3291112,1155.535626,0.011429354,77.7159779,91.66303565,18.08360477,51.2772301,238.5384436,163.9085384,240.681182,-187.2612135,76.77264362,2.142738366
iESM_coupled,2056,289.6530307,290.4051516,1156.200376,0.011448288,77.68972182,91.69635227,18.0524603,51.16445169,238.4355821,163.6699816,240.5221309,-187.2711304,76.85214932,2.08654885
iESM_coupled,2057,289.6805733,290.4348307,1153.158814,0.011412306,77.47666446,91.50277616,18.37030556,51.50328755,238.7054093,164.0768928,240.8951191,-187.2021218,76.81822627,2.189709768
iESM_coupled,2058,289.8504012,290.5950783,1162.232912,0.011585753,77.63778872,92.18977831,18.08807749,51.03827909,239.0194907,164.1414423,241.0851033,-187.9812116,76.94366104,2.065612642
iESM_coupled,2059,289.7357229,290.4865983,1162.117203,0.011546033,77.75420745,92.16509303,17.9275588,51.00633207,238.7572674,163.7797609,240.6494297,-187.7509353,76.86966878,1.8921623
iESM_coupled,2060,289.7018964,290.4431636,1156.018336,0.011460857,77.64333443,91.680012,17.99028135,51.20386772,238.3551019,163.9534137,240.7568874,-187.1512342,76.80347377,2.401785529
iESM_coupled,2061,289.754775,290.5010769,1154.650075,0.01147043,77.60259338,91.60950134,18.00701446,51.36871907,238.4993174,164.2895066,241.0991648,-187.1305983,76.80965821,2.59984735
iESM_coupled,2062,289.9435134,290.6916786,1161.411905,0.011628938,77.66236892,92.17120081,18.15509209,50.79005424,238.6833411,163.7849228,240.885625,-187.8932868,77.10070216,2.202283911
iESM_coupled,2063,290.1687979,290.9090221,1176.160761,0.01185436,77.82749648,93.33173465,17.73718665,50.26649906,239.1731131,163.9560598,241.2091782,-188.906614,77.25311844,2.0360651
