case,year,SFCO2_PgCperyr,SFCO2_FFF_PgCperyr,SFCO2_LND_PgCperyr,SFCO2_OCN_PgCperyr,TMCO2_PgC_avg,TMCO2_FFF_PgC_avg,TMCO2_LND_PgC_avg,TMCO2_OCN_PgC_avg,BURDENBC_PgC_avg,co2vmr_ppmv_avg,ch4vmr_ppmv_avg,co2vmr_PgC_avg,ch4vmr_PgC_avg,TMCO2_ppmv_avg
iESM85_uncoupled,2017,5.036175811,9.381750076,-1.827014784,-2.518559479,903.2412396,1009.178875,648.4397827,444.0320168,7.78E-05,408.629502,1.87903853,872.0929362,4.010224962,423.2244095
iESM85_uncoupled,2018,7.368288558,9.56161516,0.399249468,-2.592576075,909.2886981,1018.650693,647.5720919,441.475348,7.86E-05,411.4949534,1.896689288,878.2083535,4.04789503,426.0580179
iESM85_uncoupled,2019,6.74796016,9.741480243,-0.197366859,-2.79615322,916.9065528,1028.302376,648.2637799,438.7498315,8.01E-05,414.4242361,1.915088583,884.459999,4.08716262,429.6274542
iESM85_uncoupled,2020,7.317551934,9.922441929,0.340088453,-2.944978438,923.2540105,1038.133941,647.6334939,435.89601,8.19E-05,417.4140248,1.934123611,890.8407757,4.127786983,432.6016309
iESM85_uncoupled,2021,6.892300509,10.18445571,-0.319740527,-2.97241467,930.6715573,1048.187211,647.9981204,432.8956605,7.89E-05,420.4582771,1.95363045,897.3377879,4.16941828,436.0772106
iESM85_uncoupled,2022,6.809520194,10.44724395,-0.863633689,-2.774090071,937.3204101,1058.503259,647.1909246,430.0356611,7.52E-05,423.5600693,1.973494225,903.9576013,4.211811348,439.1926095
iESM85_uncoupled,2023,6.848942113,10.7100322,-0.822709771,-3.038380313,944.3493665,1069.082095,646.5272882,427.1494176,7.74E-05,426.7295587,1.993693618,910.7218935,4.254920688,442.4861105
iESM85_uncoupled,2024,10.04289569,10.97282044,2.258732857,-3.188657612,952.5596578,1079.92372,646.9807753,424.0645971,7.99E-05,429.9726973,2.01423813,917.643367,4.298766575,446.33314
iESM85_uncoupled,2025,7.449408786,11.23537406,-0.590040482,-3.195924789,962.0894979,1091.028129,648.6720858,420.7987175,7.75E-05,433.2902237,2.035139926,924.7235982,4.343374977,450.7984597
iESM85_uncoupled,2026,6.629992206,11.48057668,-1.799269142,-3.051315333,968.3621159,1102.38637,646.6402571,417.7449231,7.82E-05,436.6779314,2.056393595,931.9536096,4.388734341,453.7375694
iESM85_uncoupled,2027,10.4436799,11.72561371,1.875899983,-3.157833793,977.0454625,1113.989651,646.7865627,414.678684,7.91E-05,440.1276404,2.077959487,939.3159435,4.434760048,457.8062546
iESM85_uncoupled,2028,8.556119221,11.97065073,-0.150133956,-3.264397557,986.481169,1125.837968,647.6463823,411.4062537,7.75E-05,443.6330285,2.099791475,946.7971073,4.481353657,462.2274669
iESM85_uncoupled,2029,8.963203152,12.21568775,0.230375421,-3.482860024,995.3631376,1137.931322,647.7784871,408.0627632,7.79E-05,447.1922993,2.121855529,954.3932669,4.528442536,466.3892188
iESM85_uncoupled,2030,8.568115947,12.46097247,-0.58075326,-3.312103265,1004.09048,1150.269717,647.6632829,404.566915,7.75E-05,450.8059575,2.144122595,962.1054995,4.575964682,470.4785189
iESM85_uncoupled,2031,8.605394058,12.72458504,-0.736149203,-3.38304178,1012.54946,1162.86261,646.8029722,401.2933129,7.36E-05,454.4797344,2.166839628,969.9460369,4.624447143,474.4420743
iESM85_uncoupled,2032,10.48185477,12.9883723,0.824895409,-3.331412933,1022.25502,1175.719287,646.9959667,397.9492015,7.42E-05,458.2284135,2.190485642,977.9464297,4.674912226,478.9897299
iESM85_uncoupled,2033,8.648857232,13.25215956,-1.191351858,-3.411950471,1031.681005,1188.839752,646.7424019,394.5082865,7.33E-05,462.0700204,2.215260032,986.1451483,4.727785479,483.406387
iESM85_uncoupled,2034,10.76894315,13.51594682,0.767921533,-3.514925215,1041.491963,1202.224004,646.5569567,391.120437,7.64E-05,466.0176483,2.241121772,994.5701358,4.782979342,488.0034276
iESM85_uncoupled,2035,9.875169237,13.7798446,-0.336551197,-3.568124167,1051.748483,1215.872045,646.7167741,387.5690993,7.50E-05,470.0766642,2.268027416,1003.232846,4.840401093,492.8092421
iESM85_uncoupled,2036,9.372222528,14.05190059,-1.02785829,-3.65181977,1061.515747,1229.788084,646.2304324,383.9066649,7.24E-05,474.2474799,2.295942376,1012.134159,4.899976919,497.3858095
iESM85_uncoupled,2037,10.58634337,14.32403475,-0.247663822,-3.490027555,1071.483467,1243.976257,645.4848802,380.4317639,7.09E-05,478.5255634,2.32481638,1021.264401,4.961599524,502.056303
iESM85_uncoupled,2038,11.78536127,14.5961689,0.742266992,-3.553074616,1082.525066,1258.436564,645.6454027,376.8525338,7.22E-05,482.9019042,2.354564047,1030.604343,5.025086695,507.2299755
iESM85_uncoupled,2039,11.33275477,14.86830305,0.219482004,-3.755030277,1093.779891,1273.169006,645.8588944,373.1614256,7.08E-05,487.3693436,2.385095271,1040.138707,5.090246123,512.5035574
iESM85_uncoupled,2040,11.67542396,15.14038907,0.26803642,-3.733001539,1105.720382,1288.17358,646.4935443,369.4626922,6.77E-05,491.925593,2.416337695,1049.862608,5.156923387,518.0984163
iESM85_uncoupled,2041,9.925515904,15.40891514,-1.745496173,-3.737903072,1116.109381,1303.448452,645.3854661,365.6848983,6.88E-05,496.5769076,2.448267559,1059.789397,5.225067778,522.9663052
iESM85_uncoupled,2042,12.14624412,15.67740726,0.308241557,-3.839404697,1127.400088,1318.991816,644.8981103,361.9195968,7.08E-05,501.3298102,2.480839834,1069.932993,5.294583197,528.2566999
iESM85_uncoupled,2043,11.07084222,15.94589938,-1.112800425,-3.762256723,1139.25814,1334.803671,644.7590042,358.1048992,7.05E-05,506.1855825,2.513947252,1080.296133,5.365240712,533.8129311
iESM85_uncoupled,2044,11.23236052,16.21439148,-1.200859627,-3.781171339,1149.979879,1350.884019,643.1425927,354.362702,6.86E-05,511.153861,2.547547081,1090.899383,5.436949128,538.8367293
iESM85_uncoupled,2045,13.92153196,16.48292938,1.255326052,-3.816723479,1162.704686,1367.23286,643.3003594,350.5809006,6.84E-05,516.2482982,2.581656453,1101.771879,5.509745003,544.7990884
iESM85_uncoupled,2046,12.0852988,16.7548448,-0.77887047,-3.890675532,1175.637797,1383.851937,643.4827986,346.7124959,7.03E-05,521.475913,2.616286252,1112.928601,5.583651568,550.8590512
